,id,vehicle.trip.trip_id,vehicle.trip.start_time,vehicle.trip.start_date,vehicle.trip.schedule_relationship,vehicle.trip.route_id,vehicle.trip.direction_id,vehicle.position.latitude,vehicle.position.longitude,vehicle.position.bearing,vehicle.position.speed,vehicle.current_stop_sequence,vehicle.current_status,vehicle.timestamp,vehicle.stop_id,vehicle.vehicle.id,vehicle.vehicle.label,vehicle.occupancy_status
154,5513,16087100,10:45:00,20260216,0.0,D40,1.0,38.976219177246094,-77.02661895751953,,0.0,13.0,1.0,1771257568,9532,5513,5513,7
155,5516,5358100,10:00:00,20260216,0.0,C53,1.0,38.850650787353516,-76.9754867553711,,0.0,61.0,1.0,1771257564,2787,5516,5516,7
156,5525,35152100,11:00:00,20260216,0.0,D40,1.0,38.993408203125,-77.03011322021484,,0.0,2.0,1.0,1771257567,18907,5525,5525,7
158,5537,5326100,10:12:00,20260216,0.0,C53,1.0,38.86656951904297,-76.98394012451172,103.0,10.05840015411377,48.0,1.0,1771257566,3720,5537,5537,7
162,4582,30095100,10:30:00,20260216,0.0,D96,1.0,38.929969787597656,-77.07820129394531,214.0,10.668000221252441,38.0,1.0,1771257578,7551,4582,4582,7
163,5461,18632100,09:36:00,20260216,0.0,C53,0.0,38.92353057861328,-77.0519790649414,,0.0,63.0,1.0,1771257580,7219,5461,5461,7
165,5464,14078100,10:00:00,20260216,0.0,C53,0.0,38.91653823852539,-77.02249908447266,299.0,10.363200187683105,53.0,2.0,1771257573,6890,5464,5464,1
169,5475,14639100,11:12:00,20260216,0.0,C53,0.0,38.84621047973633,-76.98796844482422,,0.0,2.0,1.0,1771257575,13111,5475,5475,7
172,7220,9625100,10:45:00,20260216,0.0,D40,0.0,38.90950012207031,-77.0218505859375,,0.0,12.0,1.0,1771257576,6458,7220,7220,1
174,2838,5208100,10:24:00,20260216,0.0,C53,1.0,38.88985824584961,-76.9949722290039,179.0,10.363200187683105,35.0,1.0,1771257571,5119,2838,2838,1
175,2836,20534100,11:00:00,20260216,0.0,C53,1.0,38.92417907714844,-77.052490234375,1.0,4.876800060272217,2.0,1.0,1771257574,7272,2836,2836,7
176,4603,6905100,10:25:00,20260216,0.0,D96,0.0,38.94744110107422,-77.09893798828125,313.0,10.668000221252441,46.0,1.0,1771257575,8396,4603,4603,7
179,5501,7421100,10:30:00,20260216,0.0,D40,1.0,38.94184875488281,-77.0255126953125,167.0,6.705599784851074,30.0,2.0,1771257570,8063,5501,5501,2
180,5505,6934100,11:15:00,20260216,0.0,D40,1.0,38.99338150024414,-77.02945709228516,,0.0,2.0,1.0,1771257579,18907,5505,5505,7
184,5533,28262100,10:15:00,20260216,0.0,D40,0.0,38.9752197265625,-77.0267333984375,6.0,8.53439998626709,46.0,1.0,1771257573,9524,5533,5533,7
186,5538,21117100,10:48:00,20260216,0.0,C53,0.0,38.85091018676758,-76.97450256347656,73.0,2.7432000637054443,9.0,1.0,1771257575,2793,5538,5538,7
187,5539,13300100,10:36:00,20260216,0.0,C53,0.0,38.86614990234375,-76.98165130615234,282.0,3.962399959564209,20.0,1.0,1771257571,17578,5539,5539,7
191,5463,698100,10:36:00,20260216,0.0,C53,1.0,38.910831451416016,-77.0091323852539,119.0,7.315199851989746,21.0,1.0,1771257583,6567,5463,5463,1
195,5473,22340100,11:24:00,20260216,0.0,C53,1.0,38.92367172241211,-77.0516128540039,152.0,4.876800060272217,2.0,1.0,1771257588,7272,5473,5473,1
197,5481,1115100,10:12:00,20260216,0.0,C53,0.0,38.90610122680664,-76.99799346923828,,0.0,42.0,2.0,1771257586,6299,5481,5481,1
198,5479,842100,10:24:00,20260216,0.0,C53,0.0,38.88132858276367,-76.99498748779297,357.0,7.01039981842041,29.0,1.0,1771257582,4520,5479,5479,1
200,7223,28463100,10:30:00,20260216,0.0,D40,0.0,38.9405517578125,-77.0251693725586,,0.0,29.0,2.0,1771257585,8125,7223,7223,2
